Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-7B-Chat,7B-Chat,(5:5),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(5),19,13,0,24,8,0,7,25,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(6:6),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(6),19,13,0,26,6,0,7,25,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(7:7),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(7),19,13,0,27,5,0,7,25,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(8:8),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(8),19,13,0,26,6,0,3,29,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(9:9),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(9),19,13,0,27,5,0,4,28,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(10:10),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(10),19,13,0,27,5,0,5,27,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(11:11),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(11),19,13,0,26,6,0,1,31,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(12:12),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(12),19,13,0,29,3,0,3,29,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(13:13),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(13),19,13,0,30,2,0,2,30,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(14:14),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(14),19,13,0,28,4,0,3,29,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(15:15),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(15),19,13,0,29,3,0,1,31,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(16:16),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(16),19,13,0,25,7,0,0,32,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(17:17),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(17),19,13,0,19,13,0,1,31,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(18:18),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(18),19,13,0,19,13,0,1,31,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(19:19),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(19),19,13,0,14,18,0,0,32,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(13:16),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat,62,38,0,83,17,0,0,100,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(0:0),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(0),23,9,0,24,8,0,24,8,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(1:1),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(1),23,9,0,24,8,0,24,8,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(2:2),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(2),23,9,0,23,9,0,24,8,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(3:3),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(3),23,9,0,26,6,0,21,11,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(4:4),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(4),23,9,0,27,5,0,20,12,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(5:5),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(5),23,9,0,27,5,0,17,15,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(6:6),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(6),23,9,0,27,5,0,17,15,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(7:7),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(7),23,9,0,27,5,0,12,20,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(8:8),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(8),23,9,0,27,5,0,13,19,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(9:9),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(9),23,9,0,27,5,0,13,19,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(10:10),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(10),23,9,0,28,4,0,10,22,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(11:11),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(11),23,9,0,29,3,0,8,24,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(12:12),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(12),23,9,0,30,2,0,6,26,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(13:13),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(13),23,9,0,30,2,0,9,23,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(14:14),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(14),23,9,0,30,2,0,5,27,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(15:15),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(15),23,9,0,28,4,0,4,28,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,(16:16),128,farhan_logs/Log_286_Coeff_Batching_Qwen1.5-14B-Chat//log_286_Qwen1.5-14B-Chat(16),23,9,0,30,2,0,1,31,0
